:LABEL,id,ifc_type,inner_curves,outer_curve,profile_type
IfcArbitraryProfileDefWithVoids,#6317,IFCARBITRARYPROFILEDEFWITHVOIDS,#6310,#6316,AREA
IfcArbitraryProfileDefWithVoids,#6338,IFCARBITRARYPROFILEDEFWITHVOIDS,#6331,#6337,AREA
IfcArbitraryProfileDefWithVoids,#6356,IFCARBITRARYPROFILEDEFWITHVOIDS,#6349,#6355,AREA
IfcArbitraryProfileDefWithVoids,#6815,IFCARBITRARYPROFILEDEFWITHVOIDS,#6808,#6814,AREA
IfcArbitraryProfileDefWithVoids,#6833,IFCARBITRARYPROFILEDEFWITHVOIDS,#6826,#6832,AREA
IfcArbitraryProfileDefWithVoids,#6851,IFCARBITRARYPROFILEDEFWITHVOIDS,#6844,#6850,AREA
IfcArbitraryProfileDefWithVoids,#7084,IFCARBITRARYPROFILEDEFWITHVOIDS,#7077,#7083,AREA
IfcArbitraryProfileDefWithVoids,#7102,IFCARBITRARYPROFILEDEFWITHVOIDS,#7095,#7101,AREA
IfcArbitraryProfileDefWithVoids,#7120,IFCARBITRARYPROFILEDEFWITHVOIDS,#7113,#7119,AREA
IfcArbitraryProfileDefWithVoids,#7301,IFCARBITRARYPROFILEDEFWITHVOIDS,#7294,#7300,AREA
IfcArbitraryProfileDefWithVoids,#7319,IFCARBITRARYPROFILEDEFWITHVOIDS,#7312,#7318,AREA
IfcArbitraryProfileDefWithVoids,#7337,IFCARBITRARYPROFILEDEFWITHVOIDS,#7330,#7336,AREA
IfcArbitraryProfileDefWithVoids,#7518,IFCARBITRARYPROFILEDEFWITHVOIDS,#7511,#7517,AREA
IfcArbitraryProfileDefWithVoids,#7536,IFCARBITRARYPROFILEDEFWITHVOIDS,#7529,#7535,AREA
IfcArbitraryProfileDefWithVoids,#7557,IFCARBITRARYPROFILEDEFWITHVOIDS,#7550,#7556,AREA
IfcArbitraryProfileDefWithVoids,#17491,IFCARBITRARYPROFILEDEFWITHVOIDS,#17484,#17490,AREA
IfcArbitraryProfileDefWithVoids,#17678,IFCARBITRARYPROFILEDEFWITHVOIDS,#17671,#17677,AREA
IfcArbitraryProfileDefWithVoids,#21758,IFCARBITRARYPROFILEDEFWITHVOIDS,#21751,#21757,AREA
