:LABEL,id,ifc_type,normalised_ratio,reflectance_method,specular_exponent,surface_colour,transparency
IfcSurfaceStyleRendering,#61,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#60,0.8500000238418579
IfcSurfaceStyleRendering,#3791,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#3790,0.0
IfcSurfaceStyleRendering,#3878,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#3877,0.0
IfcSurfaceStyleRendering,#3895,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#3894,0.0
IfcSurfaceStyleRendering,#3904,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#3903,0.0
IfcSurfaceStyleRendering,#3919,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#3918,0.0
IfcSurfaceStyleRendering,#3934,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#3933,0.0
IfcSurfaceStyleRendering,#3943,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#3942,0.0
IfcSurfaceStyleRendering,#4719,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#4718,0.0
IfcSurfaceStyleRendering,#5159,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#5158,0.0
IfcSurfaceStyleRendering,#5237,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#5236,0.0
IfcSurfaceStyleRendering,#6202,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#6201,0.0
IfcSurfaceStyleRendering,#6215,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#6214,0.0
IfcSurfaceStyleRendering,#6301,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,12.0,#6300,0.8999999761581421
IfcSurfaceStyleRendering,#6322,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#6321,0.0
IfcSurfaceStyleRendering,#6586,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#6585,0.0
IfcSurfaceStyleRendering,#6612,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#6611,0.0
IfcSurfaceStyleRendering,#7541,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#7540,0.0
IfcSurfaceStyleRendering,#8459,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#8458,0.0
IfcSurfaceStyleRendering,#12257,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#12256,0.0
IfcSurfaceStyleRendering,#16206,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#16205,0.0
IfcSurfaceStyleRendering,#17433,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#17432,0.0
IfcSurfaceStyleRendering,#17475,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,44.0,#17474,0.6399999856948853
IfcSurfaceStyleRendering,#17496,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#17495,0.0
IfcSurfaceStyleRendering,#17962,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#17961,0.0
IfcSurfaceStyleRendering,#20873,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#20872,0.0
IfcSurfaceStyleRendering,#21266,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,127.0,#21265,0.0
IfcSurfaceStyleRendering,#21281,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#21280,0.0
IfcSurfaceStyleRendering,#22485,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#22484,0.0
IfcSurfaceStyleRendering,#22618,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#22617,0.0
IfcSurfaceStyleRendering,#22627,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#22626,0.0
IfcSurfaceStyleRendering,#22636,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,64.0,#22635,0.0
IfcSurfaceStyleRendering,#36680,IFCSURFACESTYLERENDERING,0.00390625,NOTDEFINED,128.0,#36679,0.0
